text,summary
Snapped at someone and immediately regretted it.,Felt angry and irritated by small triggers.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
My chest tightened when I thought of tomorrow.,Felt fearful and unsettled after a vivid nightmare.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
Snapped at someone and immediately regretted it.,Felt angry and irritated by small triggers.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
Internet went down again. I was mid-sentence on a call.,Felt frustrated by repeated technical issues.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
Felt like screaming but kept it all inside.,Felt angry and irritated by small triggers.
Snapped at someone and immediately regretted it.,Felt angry and irritated by small triggers.
Internet went down again. I was mid-sentence on a call.,Felt frustrated by repeated technical issues.
My chest tightened when I thought of tomorrow.,Felt fearful and unsettled after a vivid nightmare.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
Internet went down again. I was mid-sentence on a call.,Felt frustrated by repeated technical issues.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
Felt like screaming but kept it all inside.,Felt angry and irritated by small triggers.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
Felt like screaming but kept it all inside.,Felt angry and irritated by small triggers.
Didn't speak to anyone today. Felt like I was fading.,Felt isolated and low-energy all day.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
I hate how people ignore what I need.,Felt angry and irritated by small triggers.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
Felt like screaming but kept it all inside.,Felt angry and irritated by small triggers.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
Internet went down again. I was mid-sentence on a call.,Felt frustrated by repeated technical issues.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
Stepped in something and didn’t want to look.,Felt disgusted by a strong sensory trigger.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
Scrolled endlessly and nothing interested me.,Felt bored and disengaged throughout the day.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
It's hard to celebrate others when you’re stuck.,Felt a mix of jealousy and longing seeing others enjoy things.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
It's hard to celebrate others when you’re stuck.,Felt a mix of jealousy and longing seeing others enjoy things.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
It's hard to celebrate others when you’re stuck.,Felt a mix of jealousy and longing seeing others enjoy things.
I kept switching apps hoping something would feel different.,Felt bored and disengaged throughout the day.
Scrolled endlessly and nothing interested me.,Felt bored and disengaged throughout the day.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
Scrolled endlessly and nothing interested me.,Felt bored and disengaged throughout the day.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
Scrolled endlessly and nothing interested me.,Felt bored and disengaged throughout the day.
Saw their vacation photos and wished it was me.,Felt a mix of jealousy and longing seeing others enjoy things.
My chest tightened when I thought of tomorrow.,Felt fearful and unsettled after a vivid nightmare.
I was awake but didn’t feel present in anything.,Felt bored and disengaged throughout the day.
I was awake but didn’t feel present in anything.,Felt bored and disengaged throughout the day.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
Saw their vacation photos and wished it was me.,Felt a mix of jealousy and longing seeing others enjoy things.
My chest tightened when I thought of tomorrow.,Felt fearful and unsettled after a vivid nightmare.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
Snapped at someone and immediately regretted it.,Felt angry and irritated by small triggers.
Scrolled endlessly and nothing interested me.,Felt bored and disengaged throughout the day.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
Didn't speak to anyone today. Felt like I was fading.,Felt isolated and low-energy all day.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
Internet went down again. I was mid-sentence on a call.,Felt frustrated by repeated technical issues.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
Scrolled endlessly and nothing interested me.,Felt bored and disengaged throughout the day.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
I hate how people ignore what I need.,Felt angry and irritated by small triggers.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
I kept switching apps hoping something would feel different.,Felt bored and disengaged throughout the day.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
I was awake but didn’t feel present in anything.,Felt bored and disengaged throughout the day.
It's hard to celebrate others when you’re stuck.,Felt a mix of jealousy and longing seeing others enjoy things.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
Saw their vacation photos and wished it was me.,Felt a mix of jealousy and longing seeing others enjoy things.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
Stepped in something and didn’t want to look.,Felt disgusted by a strong sensory trigger.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
Internet went down again. I was mid-sentence on a call.,Felt frustrated by repeated technical issues.
Stepped in something and didn’t want to look.,Felt disgusted by a strong sensory trigger.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
My chest tightened when I thought of tomorrow.,Felt fearful and unsettled after a vivid nightmare.
I was awake but didn’t feel present in anything.,Felt bored and disengaged throughout the day.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
It's hard to celebrate others when you’re stuck.,Felt a mix of jealousy and longing seeing others enjoy things.
Saw their vacation photos and wished it was me.,Felt a mix of jealousy and longing seeing others enjoy things.
I kept switching apps hoping something would feel different.,Felt bored and disengaged throughout the day.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
Stepped in something and didn’t want to look.,Felt disgusted by a strong sensory trigger.
Stepped in something and didn’t want to look.,Felt disgusted by a strong sensory trigger.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
Internet went down again. I was mid-sentence on a call.,Felt frustrated by repeated technical issues.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
I kept switching apps hoping something would feel different.,Felt bored and disengaged throughout the day.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
Snapped at someone and immediately regretted it.,Felt angry and irritated by small triggers.
I hate how people ignore what I need.,Felt angry and irritated by small triggers.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
I kept switching apps hoping something would feel different.,Felt bored and disengaged throughout the day.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
Saw their vacation photos and wished it was me.,Felt a mix of jealousy and longing seeing others enjoy things.
Felt like screaming but kept it all inside.,Felt angry and irritated by small triggers.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
Didn't speak to anyone today. Felt like I was fading.,Felt isolated and low-energy all day.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
Scrolled endlessly and nothing interested me.,Felt bored and disengaged throughout the day.
Stepped in something and didn’t want to look.,Felt disgusted by a strong sensory trigger.
I was awake but didn’t feel present in anything.,Felt bored and disengaged throughout the day.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
Felt like screaming but kept it all inside.,Felt angry and irritated by small triggers.
Internet went down again. I was mid-sentence on a call.,Felt frustrated by repeated technical issues.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
Snapped at someone and immediately regretted it.,Felt angry and irritated by small triggers.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
It's hard to celebrate others when you’re stuck.,Felt a mix of jealousy and longing seeing others enjoy things.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
It's hard to celebrate others when you’re stuck.,Felt a mix of jealousy and longing seeing others enjoy things.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
Saw their vacation photos and wished it was me.,Felt a mix of jealousy and longing seeing others enjoy things.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
I was awake but didn’t feel present in anything.,Felt bored and disengaged throughout the day.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
I was awake but didn’t feel present in anything.,Felt bored and disengaged throughout the day.
Didn't speak to anyone today. Felt like I was fading.,Felt isolated and low-energy all day.
Internet went down again. I was mid-sentence on a call.,Felt frustrated by repeated technical issues.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
Didn't speak to anyone today. Felt like I was fading.,Felt isolated and low-energy all day.
I hate how people ignore what I need.,Felt angry and irritated by small triggers.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
I was awake but didn’t feel present in anything.,Felt bored and disengaged throughout the day.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
Felt like screaming but kept it all inside.,Felt angry and irritated by small triggers.
Saw their vacation photos and wished it was me.,Felt a mix of jealousy and longing seeing others enjoy things.
Didn't speak to anyone today. Felt like I was fading.,Felt isolated and low-energy all day.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
I hate how people ignore what I need.,Felt angry and irritated by small triggers.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
My chest tightened when I thought of tomorrow.,Felt fearful and unsettled after a vivid nightmare.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
Snapped at someone and immediately regretted it.,Felt angry and irritated by small triggers.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
I kept switching apps hoping something would feel different.,Felt bored and disengaged throughout the day.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
Snapped at someone and immediately regretted it.,Felt angry and irritated by small triggers.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
Didn't speak to anyone today. Felt like I was fading.,Felt isolated and low-energy all day.
Felt like screaming but kept it all inside.,Felt angry and irritated by small triggers.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
I kept switching apps hoping something would feel different.,Felt bored and disengaged throughout the day.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
Internet went down again. I was mid-sentence on a call.,Felt frustrated by repeated technical issues.
It's hard to celebrate others when you’re stuck.,Felt a mix of jealousy and longing seeing others enjoy things.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
Stepped in something and didn’t want to look.,Felt disgusted by a strong sensory trigger.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
Saw their vacation photos and wished it was me.,Felt a mix of jealousy and longing seeing others enjoy things.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
I kept switching apps hoping something would feel different.,Felt bored and disengaged throughout the day.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
It felt like the world was moving and I wasn’t part of it.,Felt isolated and low-energy all day.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
Snapped at someone and immediately regretted it.,Felt angry and irritated by small triggers.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
Scrolled endlessly and nothing interested me.,Felt bored and disengaged throughout the day.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
Everything moved around me and I just... stood still.,Felt isolated and low-energy all day.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
Walking home tonight felt eerie. Every sound made me jump.,Felt fearful and unsettled after a vivid nightmare.
The bathroom was too gross to even use.,Felt disgusted by a strong sensory trigger.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
Didn't speak to anyone today. Felt like I was fading.,Felt isolated and low-energy all day.
Didn't speak to anyone today. Felt like I was fading.,Felt isolated and low-energy all day.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
The smell on the train made my stomach turn.,Felt disgusted by a strong sensory trigger.
Stepped in something and didn’t want to look.,Felt disgusted by a strong sensory trigger.
Nothing worked right today. Every step forward had a block.,Felt frustrated by repeated technical issues.
I hate how people ignore what I need.,Felt angry and irritated by small triggers.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
Felt like screaming but kept it all inside.,Felt angry and irritated by small triggers.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
Saw their vacation photos and wished it was me.,Felt a mix of jealousy and longing seeing others enjoy things.
They got the role I wanted. I smiled anyway.,Felt a mix of jealousy and longing seeing others enjoy things.
Saw their vacation photos and wished it was me.,Felt a mix of jealousy and longing seeing others enjoy things.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
The tears came and I didn’t fight them.,Felt isolated and low-energy all day.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
Heard someone chew with their mouth open for 10 minutes.,Felt disgusted by a strong sensory trigger.
Why does it feel like everyone’s ahead except me?,Felt a mix of jealousy and longing seeing others enjoy things.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
I kept switching apps hoping something would feel different.,Felt bored and disengaged throughout the day.
I hate how people ignore what I need.,Felt angry and irritated by small triggers.
Why is it always me who has to compromise?,Felt angry and irritated by small triggers.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
Snapped at someone and immediately regretted it.,Felt angry and irritated by small triggers.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
I tried to stay focused but my brain just wouldn’t.,Felt frustrated by repeated technical issues.
Felt watched even though no one was there.,Felt fearful and unsettled after a vivid nightmare.
Woke up from a nightmare and couldn’t shake it off.,Felt fearful and unsettled after a vivid nightmare.
The day felt like it repeated itself 5 times.,Felt bored and disengaged throughout the day.
I hate how people ignore what I need.,Felt angry and irritated by small triggers.
Kept restarting and still got nowhere.,Felt frustrated by repeated technical issues.
